"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","남자","90 - 94세",1965,2125,2279,2469,2787,3257,3777,4205,4727,5289,5740,6234,7092,7801,8135,8448
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","남자","95 - 99세",423,403,429,433,502,523,575,646,742,850,995,1157,1293,1461,1639,1781
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","남자","100세 이상",49,66,74,79,70,60,55,61,70,81,83,91,104,120,139,162
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","계",1470695,1470912,1483621,1499419,1520432,1525560,1530365,1535135,1539782,1544259,1548559,1552595,1556329,1559731,1562736,1565276
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","0 - 4세",50690,45844,43520,41795,40456,38123,36411,35122,34751,35266,36392,37728,38903,39907,40734,41392
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","5 - 9세",64796,63435,61679,59364,57492,53664,49443,46339,43868,41057,38697,36959,35686,35361,35911,37075
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","10 - 14세",63755,65094,66105,66074,66320,66848,65863,63823,60754,58120,54175,49878,46696,44138,41296,38932
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","15 - 19세",68052,64157,63445,64838,65234,65668,67202,68067,67648,67378,67856,66805,64719,61613,58914,54897
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","20 - 24세",89501,85805,81342,76409,74515,70512,67363,66545,67228,66878,67073,68511,69289,68776,68468,68884
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","25 - 29세",103219,103104,101957,100292,98196,95550,92306,87842,83186,79949,75639,71948,70596,70959,70357,70378
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","30 - 34세",92584,93097,98000,103028,107575,108359,108785,106847,104939,102215,100288,97594,93400,88714,85275,80654
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","35 - 39세",110648,105154,100759,98631,99203,100360,101540,105038,108206,110530,111603,112444,110944,109425,107036,105375
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","40 - 44세",110841,113443,117747,120274,121311,116831,112474,107280,103478,102040,103017,104030,107425,110587,112980,114189
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","45 - 49세",125818,120459,116925,114234,112933,114860,118413,122557,124237,123928,119277,114783,109475,105563,104038,104905
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","50 - 54세",128894,130244,131891,133049,131224,128978,124194,120389,117202,114864,116708,120160,124183,125795,125386,120636
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","55 - 59세",128411,125410,125538,124831,130309,130250,132526,134087,134955,132480,130266,125468,121626,118363,115943,117721
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","60 - 64세",109052,117928,123065,128368,129157,128968,126114,125885,124737,129551,129772,132300,134052,135049,132689,130501
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","65 - 69세",70228,78198,84836,93285,101992,109183,118262,122746,127322,127288,126998,124136,123982,123018,127951,128396
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","70 - 74세",52308,54390,56232,58856,62457,69494,77514,83895,91735,99713,106678,115460,119721,124096,123987,123685
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","75 - 79세",42673,42134,43709,45038,47723,50682,52705,54466,56931,60251,67026,74638,80723,88173,95763,102476
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","80세이상",59225,63016,66871,71053,74335,77230,79250,84207,88605,92751,97094,99753,104909,110194,116008,125180
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","80 - 84세",31694,32996,35222,37458,37912,38480,38070,39712,41024,43354,46038,47804,49601,51956,55053,61357
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","85 - 89세",18230,19868,20922,21984,23820,24889,26015,28041,29894,30211,30663,30300,31800,33043,34971,37156
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","90 - 94세",7375,8004,8479,9174,9854,10797,11837,12769,13613,14737,15456,16218,17595,18837,19063,19323
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","95 - 99세",1699,1860,1941,2106,2439,2722,2968,3275,3609,3913,4335,4780,5187,5551,6035,6351
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","인천광역시","여자","100세 이상",227,288,307,331,310,342,360,410,465,536,602,651,726,807,886,993
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","계",1479550,1476003,1469502,1463254,1455515,1446570,1437279,1428218,1419477,1411029,1402772,1394663,1386641,1378645,1370574,1362390
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","0 - 4세",51992,47517,44436,41108,38028,35918,34254,33304,33296,34050,35222,36593,37762,38695,39392,39865
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","5 - 9세",71547,69404,66477,62646,58725,54049,49215,45372,42014,39274,37091,35371,34392,34357,35057,36179
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","10 - 14세",73319,74207,73944,72947,71981,71191,69217,66289,62421,58458,53831,49030,45210,41874,39167,36990
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","15 - 19세",84823,79528,76961,75145,72950,72506,73264,72900,71900,70970,70229,68317,65414,61594,57721,53202
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","20 - 24세",114232,112849,107422,102581,97505,89494,81976,78678,77168,75659,75334,76080,75887,75059,74281,73661
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","25 - 29세",105429,108052,108160,107969,106356,105127,103275,98576,93155,88082,81491,75697,73596,72841,71673,71338
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","30 - 34세",86197,86322,89428,93212,96387,99390,101672,101685,101045,99270,97677,95467,90770,85724,81286,75590
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","35 - 39세",108399,102339,95062,89174,85429,84846,84958,87650,91133,94354,97008,99023,98869,98020,96101,94437
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","40 - 44세",114604,115523,116831,116657,113730,107413,101677,94395,88611,85439,84965,85092,87707,91090,94182,96667
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","45 - 49세",130969,124980,121421,116800,113198,113170,114162,115475,115418,112723,106656,101132,94086,88553,85548,85162
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","50 - 54세",125728,127745,129516,131222,129804,127456,121787,118299,113771,110251,110392,111516,112940,112984,110437,104611
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","55 - 59세",112013,110987,112649,112554,118247,120509,122691,124326,125782,124039,121773,116353,113097,108790,105535,105827
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","60 - 64세",95868,103244,105368,108598,107839,105901,105193,106976,106697,111750,113784,115827,117381,118768,117071,114925
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","65 - 69세",65283,69009,72383,78293,85035,90424,97176,99251,102289,101281,99551,98944,100607,100323,105187,107063
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","70 - 74세",52378,55193,56063,56360,57416,61249,64788,68080,73731,79988,85148,91611,93620,96618,95713,94196
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","75 - 79세",40579,40184,41013,42442,45305,47645,50129,51099,51481,52583,56298,59680,62880,68197,74044,78975
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","80세이상",46190,48920,52368,55546,57580,60282,61845,65863,69565,72858,76322,78930,82423,85158,88179,93702
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","80 - 84세",26762,28141,30604,32343,32578,33424,33030,34150,35532,37862,39909,41971,42958,43435,44532,47973
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","85 - 89세",13402,14409,15220,16255,17351,18300,19474,21507,22925,23023,23571,23202,24258,25433,27106,28648
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","90 - 94세",4904,5170,5310,5663,6207,6859,7507,8193,8888,9504,10071,10734,11903,12699,12682,12943
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","95 - 99세",981,1046,1064,1087,1277,1537,1662,1820,2005,2221,2474,2704,2953,3201,3425,3648
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","계","100세 이상",141,154,170,198,167,162,172,193,215,248,297,319,351,390,434,490
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","계",735215,732627,728987,726313,722352,717786,713035,708403,703914,699562,695308,691124,686992,682877,678739,674575
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","0 - 4세",26517,24271,22701,20940,19358,18367,17496,17040,16996,17404,18005,18705,19301,19775,20131,20374
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","5 - 9세",36978,35738,34282,32178,30177,27592,25186,23152,21410,19975,18940,18035,17564,17505,17885,18459
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","10 - 14세",37967,38393,38164,37631,37098,36721,35606,34116,32032,30022,27472,25090,23063,21332,19912,18874
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","15 - 19세",43981,40786,39459,38935,37769,37441,37741,37458,36922,36446,36080,34995,33533,31492,29541,27058
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","20 - 24세",59232,58004,54983,52317,49843,45884,42270,40765,40098,39046,38832,39150,38951,38521,38109,37771
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","25 - 29세",55508,56934,56973,57144,56318,55609,54502,51869,48963,46433,43040,40079,38990,38577,37733,37600
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","30 - 34세",44668,44825,46534,48989,51031,52737,53990,54186,53874,52914,52000,50787,48283,45655,43410,40394
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","35 - 39세",54997,52188,48456,45648,43770,43747,44148,45799,48006,49982,51511,52630,52709,52236,51169,50218
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","40 - 44세",57142,57628,58251,58418,57236,54319,51567,47967,45108,43615,43665,44066,45668,47810,49705,51144
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","45 - 49세",65350,62367,60848,58364,56376,56261,56704,57312,57581,56522,53721,51077,47604,44892,43511,43621
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","50 - 54세",62865,63883,64633,65394,64728,63538,60699,59133,56690,54815,54807,55347,56035,56353,55349,52659
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","55 - 59세",55898,55560,56456,56135,58784,59916,60971,61658,62377,61558,60419,57720,56265,53951,52249,52337
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","60 - 64세",46691,50157,51246,53034,52871,52081,51911,52864,52569,54921,55952,56939,57597,58298,57518,56456
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","65 - 69세",30879,32820,34387,37340,40604,43047,46093,47115,48812,48558,47906,47836,48747,48479,50734,51687
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","70 - 74세",24071,25198,25647,25750,26102,27978,29805,31325,34074,37052,39358,42227,43211,44868,44669,44158
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","75 - 79세",17406,17563,17972,18511,19836,20911,21901,22422,22600,23016,24794,26489,27935,30456,33170,35342
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","80세이상",15065,16312,17995,19585,20451,21637,22445,24222,25802,27283,28806,29952,31536,32677,33944,36423
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","80 - 84세",9959,10669,11901,12874,13012,13460,13525,14102,14662,15738,16662,17468,17999,18222,18643,20239
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","85 - 89세",3879,4330,4721,5220,5737,6182,6676,7587,8299,8382,8669,8696,9201,9678,10423,11087
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","90 - 94세",1073,1131,1190,1288,1457,1705,1939,2179,2445,2703,2931,3176,3643,3999,4012,4146
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","95 - 99세",145,168,168,187,228,275,288,331,370,427,505,571,644,723,801,873
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","남자","100세 이상",9,14,15,16,17,15,17,23,26,33,39,41,49,55,65,78
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","계",744335,743376,740515,736941,733163,728784,724244,719815,715563,711467,707464,703539,699649,695768,691835,687815
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","0 - 4세",25475,23246,21735,20168,18670,17551,16758,16264,16300,16646,17217,17888,18461,18920,19261,19491
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","5 - 9세",34569,33666,32195,30468,28548,26457,24029,22220,20604,19299,18151,17336,16828,16852,17172,17720
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","10 - 14세",35352,35814,35780,35316,34883,34470,33611,32173,30389,28436,26359,23940,22147,20542,19255,18116
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","15 - 19세",40842,38742,37502,36210,35181,35065,35523,35442,34978,34524,34149,33322,31881,30102,28180,26144
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","20 - 24세",55000,54845,52439,50264,47662,43610,39706,37913,37070,36613,36502,36930,36936,36538,36172,35890
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","25 - 29세",49921,51118,51187,50825,50038,49518,48773,46707,44192,41649,38451,35618,34606,34264,33940,33738
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","30 - 34세",41529,41497,42894,44223,45356,46653,47682,47499,47171,46356,45677,44680,42487,40069,37876,35196
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","35 - 39세",53402,50151,46606,43526,41659,41099,40810,41851,43127,44372,45497,46393,46160,45784,44932,44219
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","40 - 44세",57462,57895,58580,58239,56494,53094,50110,46428,43503,41824,41300,41026,42039,43280,44477,45523
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","45 - 49세",65619,62613,60573,58436,56822,56909,57458,58163,57837,56201,52935,50055,46482,43661,42037,41541
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","50 - 54세",62863,63862,64883,65828,65076,63918,61088,59166,57081,55436,55585,56169,56905,56631,55088,51952
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","55 - 59세",56115,55427,56193,56419,59463,60593,61720,62668,63405,62481,61354,58633,56832,54839,53286,53490
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","60 - 64세",49177,53087,54122,55564,54968,53820,53282,54112,54128,56829,57832,58888,59784,60470,59553,58469
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","65 - 69세",34404,36189,37996,40953,44431,47377,51083,52136,53477,52723,51645,51108,51860,51844,54453,55376
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","70 - 74세",28307,29995,30416,30610,31314,33271,34983,36755,39657,42936,45790,49384,50409,51750,51044,50038
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","75 - 79세",23173,22621,23041,23931,25469,26734,28228,28677,28881,29567,31504,33191,34945,37741,40874,43633
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","80세이상",31125,32608,34373,35961,37129,38645,39400,41641,43763,45575,47516,48978,50887,52481,54235,57279
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","80 - 84세",16803,17472,18703,19469,19566,19964,19505,20048,20870,22124,23247,24503,24959,25213,25889,27734
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","85 - 89세",9523,10079,10499,11035,11614,12118,12798,13920,14626,14641,14902,14506,15057,15755,16683,17561
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","90 - 94세",3831,4039,4120,4375,4750,5154,5568,6014,6443,6801,7140,7558,8260,8700,8670,8797
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","95 - 99세",836,878,896,900,1049,1262,1374,1489,1635,1794,1969,2133,2309,2478,2624,2775
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","광주광역시","여자","100세 이상",132,140,155,182,150,147,155,170,189,215,258,278,302,335,369,412
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","계",1491876,1482094,1472473,1473897,1473033,1465021,1456694,1448679,1441075,1433967,1427350,1421177,1415360,1409801,1404400,1399051
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","0 - 4세",50809,45663,42621,40587,38346,36524,35046,34208,33885,34541,35973,37574,39017,40264,41298,42113
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","5 - 9세",66935,64497,61469,58075,54500,49733,45319,41858,39430,37254,35425,33985,33193,32913,33565,34909
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","10 - 14세",68438,68755,67977,66628,65804,65193,63166,60409,56875,53280,48703,44427,41029,38603,36419,34610
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","15 - 19세",87418,80966,78913,74732,69862,68412,68811,68477,67152,66261,65764,63879,61211,57748,54238,49778
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","20 - 24세",123162,120652,114486,114355,113261,104793,95717,90115,85543,81501,81163,81971,81992,80899,80215,79924
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","25 - 29세",111810,113442,113471,115646,116995,118082,118173,115135,111998,107970,99835,92356,88559,86004,83725,83953
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","30 - 34세",92531,93067,95848,99864,103634,106164,108460,109161,109256,108892,108984,108184,104592,101082,96977,89871
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","35 - 39세",105607,99381,93500,90274,88595,89052,89822,92477,95580,98453,100556,102477,102759,102413,101641,101334
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","40 - 44세",109233,109709,110479,110021,107507,102402,97017,91639,87829,86158,86562,87197,89684,92611,95297,97213
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","45 - 49세",127166,121235,116129,111478,107111,106539,107544,108773,108403,106090,101247,96091,90899,87158,85503,85873
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","50 - 54세",123357,126733,127915,128821,125896,122537,117241,112753,108366,104263,104110,105383,106857,106758,104684,100036
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","55 - 59세",116516,110568,109721,109744,116861,117552,121054,122435,122974,120144,117272,112472,108430,104459,100785,100960
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","60 - 64세",102981,110153,111966,113903,111614,109731,104474,104277,104170,110693,111307,114821,116249,116962,114480,111997
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","65 - 69세",69902,76385,80927,86569,92030,96502,103249,105163,107183,104989,103503,98760,98859,98864,105133,105699
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","70 - 74세",50104,52936,55307,57337,59919,65331,71554,75917,81213,86381,90811,97361,99300,101410,99484,98290
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","75 - 79세",39531,38830,39193,40091,42624,45598,48109,50472,52512,54816,59979,65790,69939,74960,79878,84221
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","80세이상",46376,49122,52551,55772,58474,60876,61938,65410,68706,72281,76156,78449,82791,86693,91078,98270
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","80 - 84세",26757,27704,29980,31669,32252,32878,32286,32943,33912,36060,38683,40757,42921,44771,46897,51611
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","85 - 89세",13689,15070,15826,16807,18089,18899,19594,21485,22881,23274,23701,23161,23871,24788,26493,28509
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","90 - 94세",4822,5130,5465,5881,6520,7291,8076,8753,9426,10160,10636,11054,12207,13032,13231,13436
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","95 - 99세",987,1064,1105,1221,1422,1620,1777,1995,2210,2466,2773,3082,3344,3600,3892,4073
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","계","100세 이상",121,154,175,194,191,188,205,234,277,321,363,395,448,502,565,641
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","남자","계",746190,741608,736306,737472,736669,732508,728172,723964,719891,716019,712384,708969,705752,702684,699724,696803
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","남자","0 - 4세",26114,23450,21932,20861,19721,18845,18040,17607,17443,17778,18519,19344,20087,20728,21262,21681
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","대전광역시","남자","5 - 9세",34369,33266,31483,29877,28055,25527,23256,21547,20217,19117,18229,17446,17040,16898,17229,17924
