"시점","행정구역(시군구)별","성별",20 - 24세,25 - 29세
"2012","경상남도","남자",109176,104486
"2012","제주특별자치도","남자",18206,16919.5
"2013","전국","남자",1770703.5,1667899.5
"2013","서울특별시","남자",345171.5,386001
"2013","부산광역시","남자",127503.5,114341
"2013","대구광역시","남자",97122.5,79469
"2013","인천광역시","남자",105020,96578
"2013","광주광역시","남자",54269.5,47027.5
"2013","대전광역시","남자",57365,51872.5
"2013","울산광역시","남자",45373.5,38516.5
"2013","세종특별자치시","남자",3584.5,3620.5
"2013","경기도","남자",415553.5,390713
"2013","강원도","남자",54957.5,44882.5
"2013","충청북도","남자",54141,49853.5
"2013","충청남도","남자",63863,64019.5
"2013","전라북도","남자",62842.5,53681.5
"2013","전라남도","남자",59716,50289.5
"2013","경상북도","남자",91863.5,82170.5
"2013","경상남도","남자",113020,98700
"2013","제주특별자치도","남자",19336.5,16163.5
"2014","전국","남자",1820690.5,1634327
"2014","서울특별시","남자",350195,374195
"2014","부산광역시","남자",129260.5,110802.5
"2014","대구광역시","남자",98516.5,78431.5
"2014","인천광역시","남자",108543.5,95856.5
"2014","광주광역시","남자",56560,45166
"2014","대전광역시","남자",58723.5,51221.5
"2014","울산광역시","남자",46959.5,38777.5
"2014","세종특별자치시","남자",4143,4149.5
"2014","경기도","남자",432974,388549.5
"2014","강원도","남자",56918.5,43992
"2014","충청북도","남자",56164,48556.5
"2014","충청남도","남자",65924.5,62674.5
"2014","전라북도","남자",64403.5,51368.5
"2014","전라남도","남자",61452.5,48117.5
"2014","경상북도","남자",92598,80339.5
"2014","경상남도","남자",116789.5,96194
"2014","제주특별자치도","남자",20564.5,15935
"2015","전국","남자",1862369.5,1630423.5
"2015","서울특별시","남자",353132.5,368206
"2015","부산광역시","남자",130165.5,109630.5
"2015","대구광역시","남자",99430,78804
"2015","인천광역시","남자",110619,96416
"2015","광주광역시","남자",58370.5,44297
"2015","대전광역시","남자",59626.5,51321
"2015","울산광역시","남자",48075.5,39750.5
"2015","세종특별자치시","남자",5278,5145.5
"2015","경기도","남자",448847.5,393670.5
"2015","강원도","남자",58879.5,44192.5
"2015","충청북도","남자",57966,48130
"2015","충청남도","남자",67827.5,62343
"2015","전라북도","남자",65808.5,50268.5
"2015","전라남도","남자",63467.5,47145.5
"2015","경상북도","남자",93283,79259.5
"2015","경상남도","남자",119898,95677
"2015","제주특별자치도","남자",21694.5,16166.5
"2016","전국","남자",1874179.5,1652552.5
"2016","서울특별시","남자",349087.5,367261
"2016","부산광역시","남자",128968.5,110401
"2016","대구광역시","남자",99043,80325
"2016","인천광역시","남자",110648,98755
"2016","광주광역시","남자",59351.5,44672.5
"2016","대전광역시","남자",59752,52099.5
"2016","울산광역시","남자",48171.5,40716.5
"2016","세종특별자치시","남자",6343,6221.5
"2016","경기도","남자",457968.5,407108.5
"2016","강원도","남자",59153.5,44979.5
"2016","충청북도","남자",58782.5,48627.5
"2016","충청남도","남자",69070,62665
"2016","전라북도","남자",66563,50129
"2016","전라남도","남자",64392.5,46968.5
"2016","경상북도","남자",93081,78475.5
"2016","경상남도","남자",121265,96306.5
"2016","제주특별자치도","남자",22538.5,16840.5
"2017","전국","남자",1851296,1705353
"2017","서울특별시","남자",339569,375042.5
"2017","부산광역시","남자",124630.5,113348
"2017","대구광역시","남자",96927,83087.5
"2017","인천광역시","남자",108646.5,103039.5
"2017","광주광역시","남자",59385,46276
"2017","대전광역시","남자",58950,53590
"2017","울산광역시","남자",46969.5,41371
"2017","세종특별자치시","남자",7109.5,7234
"2017","경기도","남자",458337,428742.5
"2017","강원도","남자",57689.5,46281.5
"2017","충청북도","남자",58394.5,50096
"2017","충청남도","남자",69366,64115
"2017","전라북도","남자",66394,50760.5
"2017","전라남도","남자",64026.5,47675.5
"2017","경상북도","남자",91670,78694.5
"2017","경상남도","남자",120274.5,97918.5
"2017","제주특별자치도","남자",22957,18080.5
"2018","전국","남자",1810584.5,1762115
"2018","서울특별시","남자",327753,385148
"2018","부산광역시","남자",118967,115889.5
"2018","대구광역시","남자",93698,85569.5
"2018","인천광역시","남자",105495.5,107265.5
"2018","광주광역시","남자",58667,48197
"2018","대전광역시","남자",57632.5,54978.5
"2018","울산광역시","남자",45037,41505
"2018","세종특별자치시","남자",7964.5,8305
"2018","경기도","남자",454039.5,451263
"2018","강원도","남자",55891.5,47287.5
"2018","충청북도","남자",57308.5,52439.5
"2018","충청남도","남자",69056,65736.5
"2018","전라북도","남자",65375.5,51502.5
"2018","전라남도","남자",63380,48828.5
"2018","경상북도","남자",89653.5,79097
"2018","경상남도","남자",117724.5,99651
"2018","제주특별자치도","남자",22941,19451.5
"2019","전국","남자",1759184,1811314.5
"2019","서울특별시","남자",314955.5,394865.5
"2019","부산광역시","남자",113327,116925.5
"2019","대구광역시","남자",89515,86460
"2019","인천광역시","남자",101679.5,110702
"2019","광주광역시","남자",57449.5,50274
"2019","대전광역시","남자",55951.5,56089.5
"2019","울산광역시","남자",42850,41505
"2019","세종특별자치시","남자",8544.5,9242
"2019","경기도","남자",447931,472305.5
"2019","강원도","남자",53906.5,47740.5
"2019","충청북도","남자",55760,54859
"2019","충청남도","남자",67987.5,66812.5
"2019","전라북도","남자",63394.5,52142.5
"2019","전라남도","남자",62275,50473
"2019","경상북도","남자",87037.5,79298.5
"2019","경상남도","남자",114078,101081.5
"2019","제주특별자치도","남자",22541.5,20538
