"성별(1)","손상부위별(1)",손상부위별(2),2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023
"성별(1)","손상부위별(1)",손상부위별(2),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%)
"전체","상지",어깨 위팔,45902.0,5.1,47492.0,5.2,49785.0,5.3,58838.0,5.7,62434.0,6.1,59168.0,5.5,64458.0,6.0,67621.0,6.2,76157.0,6.8,65114.0,6.0,70462.0,6.3,70332.8,6.4,69513.4,6.5,65455.8,6.9,58315.0,6.8,70737.2,6.8,77750.5,6.9
"전체","상지",팔꿈치 아래팔,36846.0,4.1,40889.0,4.4,44074.0,4.7,50944.0,4.9,52329.0,5.1,56000.0,5.2,61401.0,5.7,56042.0,5.2,58484.0,5.2,57632.0,5.3,67995.0,6.0,65466.2,5.9,64841.6,6.0,59260.9,6.2,62320.6,7.2,82831.5,7.9,85580.7,7.6
"전체","상지",손목 손,72669.0,8.2,78176.0,8.5,76305.0,8.1,86146.0,8.3,91746.0,9.0,94737.0,8.8,92364.0,8.5,89798.0,8.3,95496.0,8.5,98524.0,9.0,111076.0,9.9,100346.1,9.1,93752.9,8.7,97540.7,10.3,86476.6,10.1,106186.7,10.2,117020.8,10.3
"전체","상지",기타 상지,4065*,0.5,5362*,0.6,5077*,0.5,6437*,0.6,4868*,0.5,5307*,0.5,4665*,0.4,4488*,0.4,5725*,0.5,5958*,0.5,4839*,0.4,5084.9*,0.5,3518.3,0.3,3509.6,0.4,2229.5,0.3,1632.9,0.2,1528.7,0.1
"전체","하지",소계,186354.0,20.9,195596.0,21.3,205116.0,21.8,223777.0,21.5,228099.0,22.3,245087.0,22.7,250641.0,23.2,261272.0,24.0,278623.0,24.9,277536.0,25.4,289466.0,25.7,299402.3,27.2,295432.9,27.5,261348.1,27.6,243454.6,28.3,307843.7,29.5,333813.7,29.5
"전체","하지",둔부 및 고관절,29155.0,3.3,33986.0,3.7,32914.0,3.5,40258.0,3.9,40805.0,4.0,43770.0,4.1,44296.0,4.1,46436.0,4.3,50556.0,4.5,48753.0,4.5,53890.0,4.8,58101.7,5.3,60795.1,5.7,58626.6,6.2,59761.2,6.9,71583.2,6.8,78561.9,6.9
"전체","하지",둔부 외 대퇴,11929.0,1.3,11424.0,1.2,13635.0,1.4,14557.0,1.4,15591.0,1.5,16289.0,1.5,16049.0,1.5,15354.0,1.4,16854.0,1.5,18176.0,1.7,18054.0,1.6,17004.4,1.5,18500.3,1.7,16411.2,1.7,14092.1,1.6,20547.3,2.0,22354.7,2.0
"전체","하지",무릎 아래다리,94120.0,10.6,95371.0,10.4,100333.0,10.7,109499.0,10.5,109453.0,10.7,117279.0,10.9,122631.0,11.3,125785.0,11.6,129656.0,11.6,127133.0,11.6,129979.0,11.5,131660.8,12.0,125067.9,11.7,110204.0,11.6,98074.8,11.4,139441.2,13.3,144748.1,12.8
"전체","하지",발목 발,40945.0,4.6,43106.0,4.7,45729.0,4.9,47957.0,4.6,51598.0,5.0,56646.0,5.2,56197.0,5.2,58977.0,5.4,67848.0,6.1,69176.0,6.3,77777.0,6.9,76016.5,6.9,76971.1,7.2,65239.9,6.9,61034.6,7.1,71314.0,6.8,83047.5,7.3
"전체","하지",기타 하지,10205.0,1.1,11709.0,1.3,12505.0,1.3,11506.0,1.1,10652.0,1.0,11103.0,1.0,11468.0,1.1,14720*,1.4,13709*,1.2,14298.0,1.3,9766.0,0.9,16618.9*,1.5,14098.4,1.3,10866.3,1.1,10492.0,1.2,4958.1,0.5,5101.5,0.5
