"성별","손상양상별",2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023
"성별","손상양상별",퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%)
"전체","기타",24942.0,4.0,54669.0,6.1,56481.0,6.1,60714.0,6.5,71993.0,6.9,78142.0,7.6,74370.0,6.9,79222.0,7.3,81007.0,7.4,84174.0,7.5,87546.0,8.0,94794.0,8.4,85801.4,7.8,85261.5,7.9,80703.1,8.5,72523.0,8.4,88134.6,8.4,94094.0,8.3
"전체","상세불명",-,-,6805.0,0.8,5831.0,0.6,4331.0,0.5,3965.0,0.4,2882.0,0.3,3399.0,0.3,2335.0,0.2,3195.0,0.3,2117.0,0.2,1658.0,0.2,2086.0,0.2,2469.2,0.2,2208.3,0.2,1620.4,0.2,1784.0,0.2,1186.0,0.1,1724.8,0.2
"남자","전체",392569.0,100.0,545378.0,100.0,551698.0,100.0,565626.0,100.0,615779.0,100.0,601121.0,100.0,633814.0,100.0,623347.0,100.0,618314.0,100.0,630502.0,100.0,603252.0,100.0,615016.0,100.0,588902.4,100.0,572235.8,100.0,510735.7,100.0,452544.7,100.0,534490.7,100.0,566221.4,100.0
"남자","골절",68742.0,17.5,184658.0,33.9,189985.0,34.4,196816.0,34.8,220021.0,35.7,221261.0,36.8,234427.0,37.0,230567.0,37.0,235625.0,38.1,241647.0,38.3,230849.0,38.3,245118.0,39.9,236105.2,40.1,230877.2,40.3,217630.7,42.6,204644.9,45.2,262617.9,49.1,272773.0,48.2
"남자","탈구",7478.0,1.9,6223.0,1.1,6506.0,1.2,6185.0,1.1,7283.0,1.2,7065.0,1.2,7918.0,1.2,7412.0,1.2,7411.0,1.2,7772.0,1.2,7926.0,1.3,7654.0,1.2,7512.5,1.3,7092.7,1.2,7307.5,1.4,5461.7,1.2,7916.9,1.5,7466.4,1.3
"남자","염좌, 긴장",126426.0,32.2,120779.0,22.1,123034.0,22.3,129369.0,22.9,124895.0,20.3,120187.0,20.0,128205.0,20.2,127502.0,20.5,123011.0,19.9,127829.0,20.3,123250.0,20.4,119719.0,19.5,106259.1,18.0,98758.6,17.3,77816.0,15.2,57634.5,12.7,66876.1,12.5,73633.7,13.0
"남자","내부기관손상",65105.0,16.6,87083.0,16.0,80449.0,14.6,84101.0,14.9,87880.0,14.3,88013.0,14.6,91137.0,14.4,86240.0,13.8,79575.0,12.9,80645.0,12.8,75092.0,12.4,74803.0,12.2,71926.9,12.2,75161.6,13.1,62083.1,12.2,59643.1,13.2,65963.7,12.3,69922.2,12.3
"남자","열린상처",28755.0,7.3,34422.0,6.3,33335.0,6.1,28508.0,5.0,31729.0,5.2,26508.0,4.4,29205.0,4.6,31631.0,5.1,25668.0,4.2,29541.0,4.7,24832.0,4.1,25668.0,4.2,24778.9,4.2,22083.0,3.9,20776.0,4.1,19808.5,4.4,22052.5,4.1,24174.1,4.3
"남자","외상성 절단",358*,0.1,4107.0,0.8,5611*,1.0,6066.0,1.1,5306*,0.9,4458*,0.7,4682.0,0.7,4255.0,0.7,3938*,0.6,4045*,0.6,4337*,0.7,5872*,1.0,4588.6*,0.8,4853.4,0.8,4042.9,0.8,3204.3,0.7,4147.0,0.8,4937.7,0.9
"남자","혈관손상",940.0,0.2,1010.0,0.2,1690.0,0.3,1418.0,0.3,2510.0,0.4,2508.0,0.4,2529.0,0.4,2300.0,0.4,2229.0,0.4,2570.0,0.4,2369.0,0.4,3757*,0.6,3039.7,0.5,2253.5,0.4,2594.7,0.5,1633.1,0.4,2190.2,0.4,2908.9,0.5
