"성별","치료결과별",2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023
"성별","치료결과별",퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%)
"남자","사망",6702.0,1.2,7456.0,1.3,7978.0,1.4,7416.0,1.3,8802.0,1.5,8646.0,1.3,9307.0,1.5,7828.0,1.2,7870.0,1.2,7514.0,1.1,7523.0,1.1,7698.0,1.2,7061.0,1.1,8462.6,1.3,7856.5,1.3,7238.2,1.3,8635.5,1.7,8758.9,1.5,8104.8,1.3
"남자","기타",372*,0.1,1033.0,0.2,35*,0.0,189*,0.0,-,-,166*,0.0,246*,0.0,94*,0.0,106*,0.0,88*,0.0,210*,0.0,336*,0.1,29*,0.0,250.0*,0.0,160.1,0.0,*,0.0,124.0,0.0,162.3,0.0,*,0.0
"남자","불명",145*,0.0,-,-,44*,0.0,142*,0.0,-,-,-,-,488*,0.1,383*,0.1,-,-,-,-,49*,0.0,-,-,29*,0.0,272.6*,0.0,*,0.0,*,0.0,*,0.0,*,0.0,*,0.0
"여자","전체",351912.0,100.0,359817.0,100.0,372618.0,100.0,396675.0,100.0,406942.0,100.0,454257.0,100.0,453248.0,100.0,481548.0,100.0,492199.0,100.0,505540.0,100.0,523421.0,100.0,525277.0,100.0,553402.0,100.0,556049.3,100.0,543931.7,100.0,482734.2,100.0,451021.5,100.0,556173.3,100.0,611412.8,100.0
"여자","호전됨(완쾌,경쾌)",328124.0,93.2,334940.0,93.1,353946.0,95.0,379026.0,95.6,387956.0,95.3,432463.0,95.2,430522.0,95.0,461585.0,95.9,474262.0,96.4,483437.0,95.6,500470.0,95.6,504328.0,96.0,529084.0,95.6,529161.8,95.2,516211.1,94.9,459882.1,95.3,425602.3,94.4,529896.5,95.3,585665.0,95.8
"여자","호전안됨(불변)",11087.0,3.2,14322.0,4.0,8930.0,2.4,7961.0,2.0,8699.0,2.1,10371.0,2.3,10202.0,2.3,9177.0,1.9,8174.0,1.7,9574.0,1.9,10803.0,2.1,10802.0,2.1,12358.0,2.2,10784.4,1.9,10536.0,1.9,8210.8,1.7,11171.4,2.5,10328.8,1.9,8286.5,1.4
"여자","진단뿐, 치료안함",8145.0,2.3,4944.0,1.4,5653.0,1.5,4618.0,1.2,5088*,1.3,5742*,1.3,6987.0,1.5,6005.0,1.2,5715.0,1.2,8026.0,1.6,6428.0,1.2,6355.0,1.2,7630.0,1.4,11255.7,2.0,11710.1,2.2,9225.4,1.9,8296.9,1.8,9819.4,1.8,10692.0,1.7
"여자","가망없음",209.0,0.1,443.0,0.1,302*,0.1,349*,0.1,294*,0.1,136*,0.0,191*,0.0,204*,0.0,83*,0.0,61*,0.0,146*,0.0,56*,0.0,93*,0.0,181.2*,0.0,*,0.0,234.7,0.0,259.6,0.1,*,0.0,206.7,0.0
"여자","사망",3863.0,1.1,4578.0,1.3,3721.0,1.0,4484.0,1.1,4873.0,1.2,5284.0,1.2,5083.0,1.1,4369.0,0.9,3891.0,0.8,4188.0,0.8,5506.0,1.1,3657.0,0.7,4206.0,0.8,4413.0,0.8,5087.3,0.9,5114.8,1.1,5509.0,1.2,5915.7,1.1,6503.2,1.1
"여자","기타",428*,0.1,590*,0.1,66*,0.0,190*,0.0,26*,0.0,70*,0.0,113*,0.0,81*,0.0,74*,0.0,192*,0.0,68*,0.0,79*,0.0,31*,0.0,198.7*,0.0,229.0,0.0,*,0.0,182.2,0.0,*,0.0,59.4,0.0
"여자","불명",56*,0.0,-,-,-,-,47*,0.0,-,-,191*,0.0,150*,0.0,127*,0.0,-,-,62*,0.0,-,-,-,-,-,-,54.5*,0.0,*,0.0,*,0.0,*,0.0,*,0.0,*,0.0
