"성별","손상기전별",2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023
"성별","손상기전별",퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%)
"남자","운수사고",214319.0,41.0,217605.0,41.1,216934.0,40.4,226077.0,41.1,225644.0,37.6,218206.0,37.0,233045.0,37.5,217751.0,35.7,221743.0,36.6,222740.0,36.1,199445.0,34.0,196267.0,32.5,180512.2,31.4,170640.5,30.4,149181.6,29.8,123841.2,27.9,139195.8,26.3,133478.6,23.8
"남자","성폭행",-,-,-,-,-,-,-,-,-,-,20*,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"남자","추락, 낙상",137103.0,26.2,133319.0,25.2,136479.0,25.4,139022.0,25.3,165742.0,27.6,166934.0,28.3,171771.0,27.7,181007.0,29.6,176939.0,29.2,184792.0,29.9,184035.0,31.4,200209.0,33.2,187792.3,32.7,193058.4,34.4,176078.1,35.2,167068.2,37.6,209682.5,39.6,230513.1,41.1
"남자","부딪힘",91874.0,17.6,91310.0,17.2,89379.0,16.6,89590.0,16.3,102189.0,17.0,100694.0,17.1,106103.0,17.1,95836.0,15.7,93643.0,15.4,95759.0,15.5,87340.0,14.9,97888.0,16.2,79870.6,13.9,83554.2,14.9,75180.6,15.0,67448.5,15.2,82562.2,15.6,90838.5,16.2
"남자","자상 ,베임, 절단",30210.0,5.8,25419.0,4.8,26730.0,5.0,23973.0,4.4,26704.0,4.4,23761.0,4.0,24396.0,3.9,26560.0,4.4,21011.0,3.5,24207.0,3.9,27447.0,4.7,29627.0,4.9,30217.1,5.3,24213.3,4.3,23807.1,4.8,20639.9,4.6,24532.3,4.6,24148.2,4.3
"남자","총상",330*,0.1,111*,0.0,191*,0.0,100*,0.0,116*,0.0,149*,0.0,68*,0.0,161*,0.0,114*,0.0,-,-,50*,0.0,72*,0.0,66.8*,0.0,*,0.0,*,0.0,80.6,0.0,*,0.0,*,0.0
"남자","온도손상(불, 화염, 고온, 저온)",9423.0,1.8,13996*,2.6,14385*,2.7,16923*,3.1,15711*,2.6,13955*,2.4,15515*,2.5,14624*,2.4,17671*,2.9,13838*,2.2,12782*,2.2,7818.0,1.3,18261.7*,3.2,16491.9,2.9,14373.8,2.9,12122.6,2.7,5338.9,1.0,6602.6,1.2
"남자","질식",552*,0.1,786*,0.2,673*,0.1,761*,0.1,821.0,0.1,770.0,0.1,872*,0.1,796.0,0.1,1018.0,0.2,664.0,0.1,1076.0,0.2,948.0,0.2,988.0,0.2,1469.2,0.3,756.9,0.2,1155.8,0.3,698.6,0.1,842.3,0.2
"남자","익수",599*,0.1,263*,0.1,273*,0.1,367*,0.1,377*,0.1,319*,0.1,451*,0.1,410*,0.1,555*,0.1,346*,0.1,271*,0.0,437*,0.1,564.8,0.1,333.4,0.1,401.5,0.1,330.3,0.1,157.0,0.0,163.4,0.0
"남자","중독",13104.0,2.5,11837.0,2.2,13054.0,2.4,13057.0,2.4,14456.0,2.4,13435.0,2.3,14411.0,2.3,14151.0,2.3,13452.0,2.2,13551.0,2.2,12290.0,2.1,11394.0,1.9,11224.5,2.0,11842.7,2.1,10813.9,2.2,9132.9,2.1,9809.4,1.9,9427.4,1.7
"남자","기타",17491.0,3.3,23565.0,4.4,26696.0,5.0,27317.0,5.0,31437.0,5.2,32255.0,5.5,30375.0,4.9,34241.0,5.6,36231.0,6.0,37801.0,6.1,36345.0,6.2,35205.0,5.8,40571.1,7.1,36871.5,6.6,29584.9,5.9,26485.9,6.0,33059.4,6.2,38089.1,6.8
"남자","미상",7975.0,1.5,11644.0,2.2,12298.0,2.3,12627.0,2.3,17037.0,2.8,19062.0,3.2,23682.0,3.8,25032.0,4.1,23799.0,3.9,23373.0,3.8,25441.0,4.3,23942.0,4.0,24568.1,4.3,22441.9,4.0,19890.5,4.0,15811.7,3.6,24150.8,4.6,26705.8,4.8
"여자","전체",324054.0,100.0,338531.0,100.0,361877.0,100.0,368864.0,100.0,415897.0,100.0,415398.0,100.0,438774.0,100.0,452948.0,100.0,463473.0,100.0,480698.0,100.0,482757.0,100.0,507185.0,100.0,505615.1,100.0,495932.1,100.0,433414.0,100.0,404702.2,100.0,508725.3,100.0,562876.6,100.0
"여자","운수사고",131270.0,40.5,145008.0,42.8,146658.0,40.5,140124.0,38.0,155844.0,37.5,146994.0,35.4,152594.0,34.8,148220.0,32.7,147049.0,31.7,150648.0,31.3,143808.0,29.8,143318.0,28.3,133933.2,26.5,123598.6,24.9,93731.6,21.6,73988.2,18.3,90243.9,17.7,90349.6,16.1
"여자","성폭행",36*,0.0,26*,0.0,41*,0.0,102*,0.0,8*,0.0,59*,0.0,105*,0.0,80*,0.0,22*,0.0,107*,0.0,22*,0.0,10*,0.0,-,-,-,-,-,-,-,-,-,-,-,-
"여자","추락, 낙상",113651.0,35.1,111774.0,33.0,123892.0,34.2,134356.0,36.4,157583.0,37.9,165506.0,39.8,179795.0,41.0,194447.0,42.9,194330.0,41.9,211445.0,44.0,221578.0,45.9,248951.0,49.1,244434.5,48.3,251800.9,50.8,233942.2,54.0,233390.7,57.7,305441.4,60.0,349138.8,62.0
"여자","부딪힘",26974.0,8.3,26900.0,7.9,28839.0,8.0,27686.0,7.5,30349.0,7.3,30007.0,7.2,30767.0,7.0,28589.0,6.3,32997.0,7.1,31635.0,6.6,31272.0,6.5,33748.0,6.7,29749.9,5.9,30808.4,6.2,25363.7,5.9,24861.4,6.1,32461.2,6.4,33500.2,6.0
"여자","자상 ,베임, 절단",11678.0,3.6,9601.0,2.8,10982.0,3.0,9568.0,2.6,10069.0,2.4,9458.0,2.3,10003.0,2.3,11076.0,2.4,10257.0,2.2,10110.0,2.1,12138.0,2.5,11823.0,2.3,10914.8,2.2,11359.7,2.3,10771.6,2.5,8886.8,2.2,11305.0,2.2,12577.7,2.2
"여자","총상",60*,0.0,20*,0.0,-,-,-,-,71*,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,0.0,*,0.0,*,0.0,*,0.0,*,0.0
"여자","온도손상(불, 화염, 고온, 저온)",7315.0,2.3,8449*,2.5,12236*,3.4,13094*,3.5,13350*,3.2,11922*,2.9,12637*,2.9,13390*,3.0,16232*,3.5,15740*,3.3,13462*,2.8,8371.0,1.7,23668.8*,4.7,18782.6,3.8,15205.9,3.5,13895.2,3.4,6449.7,1.3,5716.8,1.0
"여자","질식",335*,0.1,518*,0.2,533*,0.1,783.0,0.2,844.0,0.2,1007.0,0.2,503*,0.1,587.0,0.1,658.0,0.1,741*,0.2,391*,0.1,1057.0,0.2,763.8,0.2,804.4,0.2,708.1,0.2,671.3,0.2,513.7,0.1,897.4,0.2
"여자","익수",698*,0.2,168*,0.1,179*,0.1,343*,0.1,306*,0.1,261*,0.1,157*,0.0,232*,0.1,229*,0.0,151*,0.0,303*,0.1,138*,0.0,224.5*,0.0,222.9,0.0,150.9,0.0,129.5,0.0,92.0,0.0,221.0,0.0
"여자","중독",16633.0,5.2,13514.0,4.0,14059.0,3.9,15220.0,4.1,14257.0,3.4,14071.0,3.4,14291.0,3.3,14280.0,3.2,16215.0,3.5,13226.0,2.8,13559.0,2.8,11603.0,2.3,13165.3,2.6,12415.6,2.5,12483.2,2.9,12386.5,3.1,11296.1,2.2,12507.8,2.2
"여자","기타",9816.0,3.0,14444.0,4.3,15841.0,4.4,18653.0,5.1,18414.0,4.4,19188.0,4.6,19333.0,4.4,23047.0,5.1,25596.0,5.5,26726.0,5.6,22571.0,4.7,24120.0,4.8,27409.7,5.4,25346.1,5.1,20948.0,4.8,19076.2,4.7,28067.0,5.5,30629.1,5.4
"여자","미상",5588.0,1.7,8109.0,2.4,8617.0,2.4,8935.0,2.4,14802.0,3.6,16925.0,4.1,18589.0,4.2,19000.0,4.2,19888.0,4.3,20169.0,4.2,23653.0,4.9,24046.0,4.7,21350.6,4.2,20793.0,4.2,20044.1,4.6,17416.3,4.3,22855.1,4.5,27338.2,4.9
