"성별","연령별",2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023
"성별","연령별",평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차,평균재원일수 (일),표준오차
"남자","45-54세",19.0,1.03,18.0,0.78,17.0,0.50,16.0,0.55,16.0,0.56,16.0,0.52,16.0,0.52,15.0,0.44,14.0,0.42,14.0,0.47,14.0,0.44,13.0,0.44,12.0,0.36,13.0,0.50,12.3,0.46,12.0,0.36,11.8,0.43,11.6,0.48,12.0,0.54
"남자","55-64세",24.0,2.00,21.0,0.79,19.0,0.70,18.0,0.64,18.0,0.54,17.0,0.49,17.0,0.59,15.0,0.43,15.0,0.44,15.0,0.45,14.0,0.39,15.0,0.44,14.0,0.40,14.0,0.40,13.3,0.37,13.5,0.37,13.2,0.40,13.3,0.48,12.4,0.38
"남자","65-74세",21.0,1.31,18.0,0.65,20.0,0.72,19.0,0.67,19.0,0.54,18.0,0.62,18.0,0.56,18.0,0.50,16.0,0.50,18.0,0.61,16.0,0.50,16.0,0.60,16.0,0.56,15.0,0.44,15.1,0.45,14.1,0.39,14.6,0.45,14.1,0.39,13.6,0.46
"남자","75세이상",20.0,1.11,16.0,0.91,19.0,0.81,20.0,0.84,19.0,1.08,18.0,0.67,17.0,0.73,19.0,0.69,17.0,0.66,16.0,0.58,17.0,0.57,16.0,0.64,17.0,0.57,16.0,0.48,16.3,0.48,16.5,0.44,16.1,0.47,16.1,0.47,15.6,0.53
"여자","전체",17.0,0.60,16.0,0.45,15.0,0.30,15.0,0.31,15.0,0.31,15.0,0.31,14.0,0.27,14.0,0.27,14.0,0.28,13.0,0.25,14.0,0.27,13.0,0.30,13.0,0.29,13.0,0.26,13.2,0.24,13.0,0.25,13.6,0.30,13.4,0.32,13.4,0.30
"여자","0-14세",10.0,0.63,10.0,0.64,10.0,0.66,9.0,0.64,9.0,0.49,9.0,0.66,8.0,0.56,8.0,0.55,8.0,0.58,8.0,0.58,7.0,0.56,7.0,0.50,7.0,0.54,7.0,0.48,6.5,0.45,7.6,0.77,6.9,0.59,6.3,0.54,5.4,0.44
"여자","15-24세",11.0,0.75,11.0,0.58,11.0,0.59,10.0,0.52,9.0,0.46,9.0,0.48,9.0,0.45,9.0,0.47,9.0,0.53,9.0,0.62,10.0,0.49,8.0,0.35,8.0,0.35,9.0,0.54,8.7,0.64,7.9,0.37,7.3,0.37,7.5,0.43,7.7,0.70
"여자","25-34세",11.0,0.74,10.0,0.57,10.0,0.51,9.0,0.44,10.0,0.49,10.0,0.46,9.0,0.34,9.0,0.30,9.0,0.39,8.0,0.32,8.0,0.48,8.0,0.36,8.0,0.28,7.0,0.29,7.7,0.38,8.0,0.48,7.7,0.34,7.6,0.29,7.4,0.34
"여자","35-44세",14.0,0.72,14.0,0.58,12.0,0.46,11.0,0.42,12.0,0.48,10.0,0.40,11.0,0.38,10.0,0.43,10.0,0.36,9.0,0.36,9.0,0.39,10.0,0.47,8.0,0.32,9.0,0.40,8.5,0.37,9.0,0.42,8.7,0.46,8.1,0.45,9.2,0.47
"여자","45-54세",18.0,1.03,15.0,0.83,16.0,0.62,15.0,0.53,14.0,0.49,14.0,0.44,14.0,0.44,13.0,0.42,13.0,0.43,12.0,0.42,12.0,0.40,11.0,0.42,11.0,0.30,11.0,0.31,10.4,0.34,10.0,0.31,10.7,0.39,10.2,0.35,9.6,0.39
"여자","55-64세",20.0,1.22,20.0,1.08,17.0,0.65,19.0,0.72,17.0,0.59,16.0,0.57,16.0,0.43,15.0,0.43,15.0,0.48,14.0,0.39,14.0,0.42,14.0,0.44,13.0,0.34,13.0,0.32,12.8,0.33,12.4,0.32,12.8,0.42,12.4,0.43,12.0,0.38
"여자","65-74세",21.0,1.24,20.0,0.84,20.0,0.65,19.0,0.61,19.0,0.61,20.0,0.66,18.0,0.55,18.0,0.56,18.0,0.50,17.0,0.43,17.0,0.58,17.0,0.54,16.0,0.50,15.0,0.39,15.6,0.41,15.4,0.38,14.7,0.40,14.9,0.47,14.6,0.40
"여자","75세이상",22.0,1.00,20.0,0.55,20.0,0.65,21.0,0.77,21.0,0.71,20.0,0.62,19.0,0.57,18.0,0.43,18.0,0.49,18.0,0.47,18.0,0.42,18.0,0.42,18.0,0.44,18.0,0.40,17.4,0.37,16.5,0.36,17.8,0.44,16.9,0.41,17.0,0.40
